trail_id,gpx_id,current_poi_id,next_poi_id,section_id,spend_time,avg_temp,avg_RH,max_precip,distance,elevation_range,elevation_change,elevation_gain,elevation_loss,high_elevation,max_slope_percent,max_slope_degrees,max_slope_point,slope_std_dev,slope_variance,slope_freq_dist,accumulated_time,accumulated_distance
1,1-0001,1,12,1-001,0 days 00:17:59,3.8,98,0,1008.4,91.7,90.94,91.7,0,FALSE,50.66,26.87,"(24.405222, 121.307583)",5.48,30.05,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 0.0, '-5°~-1°': 0.0, '-1°~1°': 12.2, '1°~5°': 39.02, '5°~10°': 36.59, '10°~15°': 4.88, '>15°': 7.32}",0 days 00:17:59,1008.4
1,1-0001,12,15,1-002,0 days 01:30:09,3.6,98,0,1712.9,526.2,304.05,539.8,19,TRUE,74.12,36.55,"(24.412912, 121.309689)",10.57,111.64,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 1.82, '-5°~-1°': 5.45, '-1°~1°': 3.64, '1°~5°': 3.64, '5°~10°': 3.64, '10°~15°': 14.55, '>15°': 67.27}",0 days 01:48:08,2721.3
1,1-0001,15,18,1-003,0 days 02:22:11.337948,4.5,93.5,0,2689.54,739.3,271.16,757.5,28.2,TRUE,152.88,56.81,"(24.432630, 121.304903)",10.32,106.53,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 3.8, '-5°~-1°': 3.8, '-1°~1°': 6.33, '1°~5°': 6.33, '5°~10°': 10.13, '10°~15°': 26.58, '>15°': 43.04}",0 days 04:10:19.337948,5410.84
1,1-0001,18,15,1-004,0 days 03:07:48.251788,7.4,83.5,0,2689.54,739.3,-271.16,28.2,757.5,TRUE,-152.88,-56.81,"(24.432640, 121.304903)",10.32,106.53,"{'<-15°': 43.04, '-15°~-10°': 26.58, '-10°~-5°': 10.13, '-5°~-1°': 6.33, '-1°~1°': 6.33, '1°~5°': 3.8, '5°~10°': 3.8, '10°~15°': 0.0, '>15°': 0.0}",0 days 07:18:07.589736,8100.38
1,1-0001,15,12,1-005,0 days 01:11:32.410264,8.9,71,0,1712.9,526.2,-304.05,19,539.8,TRUE,-74.12,-36.55,"(24.412829, 121.309677)",10.57,111.64,"{'<-15°': 67.27, '-15°~-10°': 14.55, '-10°~-5°': 3.64, '-5°~-1°': 3.64, '-1°~1°': 3.64, '1°~5°': 5.45, '5°~10°': 1.82, '10°~15°': 0.0, '>15°': 0.0}",0 days 08:29:40,9813.28
1,1-0001,12,1,1-006,0 days 00:14:22,8.6,64,0,1008.4,91.7,-90.94,0,91.7,FALSE,-50.66,-26.87,"(24.405201, 121.307604)",5.48,30.05,"{'<-15°': 7.32, '-15°~-10°': 4.88, '-10°~-5°': 36.59, '-5°~-1°': 39.02, '-1°~1°': 12.2, '1°~5°': 0.0, '5°~10°': 0.0, '10°~15°': 0.0, '>15°': 0.0}",0 days 08:44:02,10821.68
1,1-0002,1,12,1-001,0 days 00:21:16,7,79,0,1008.4,91.7,90.94,91.7,0,FALSE,50.66,26.87,"(24.405222, 121.307583)",5.48,30.05,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 0.0, '-5°~-1°': 0.0, '-1°~1°': 12.2, '1°~5°': 39.02, '5°~10°': 36.59, '10°~15°': 4.88, '>15°': 7.32}",0 days 00:27:13.557714,1008.4
1,1-0002,12,15,1-002,0 days 02:02:40,7,89.5,0,1712.9,526.2,304.05,539.8,19,TRUE,74.12,36.55,"(24.412912, 121.309689)",10.57,111.64,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 1.82, '-5°~-1°': 5.45, '-1°~1°': 3.64, '1°~5°': 3.64, '5°~10°': 3.64, '10°~15°': 14.55, '>15°': 67.27}",0 days 02:24:29.333372,2721.3
1,1-0002,15,18,1-003,0 days 02:24:27.610468,7.3,100,0,2689.54,739.3,271.16,757.5,28.2,TRUE,152.88,56.81,"(24.432630, 121.304903)",10.32,106.53,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 3.8, '-5°~-1°': 3.8, '-1°~1°': 6.33, '1°~5°': 6.33, '5°~10°': 10.13, '10°~15°': 26.58, '>15°': 43.04}",0 days 05:20:23.389532,5410.84
1,1-0002,18,15,1-004,0 days 02:55:54.056160,8.8,93.5,0,2689.54,739.3,-271.16,28.2,757.5,TRUE,-152.88,-56.81,"(24.432640, 121.304903)",10.32,106.53,"{'<-15°': 43.04, '-15°~-10°': 26.58, '-10°~-5°': 10.13, '-5°~-1°': 6.33, '-1°~1°': 6.33, '1°~5°': 3.8, '5°~10°': 3.8, '10°~15°': 0.0, '>15°': 0.0}",0 days 07:23:03.389532,7123.74
1,1-0002,15,12,1-005,0 days 01:57:15.775658,9.8,92,0,1712.9,526.2,-304.05,19,539.8,TRUE,-74.12,-36.55,"(24.412829, 121.309677)",10.57,111.64,"{'<-15°': 67.27, '-15°~-10°': 14.55, '-10°~-5°': 3.64, '-5°~-1°': 3.64, '-1°~1°': 3.64, '1°~5°': 5.45, '5°~10°': 1.82, '10°~15°': 0.0, '>15°': 0.0}",0 days 07:44:19.389532,8132.14
1,1-0002,12,1,1-006,0 days 00:27:13.557714,9.3,96.5,0,1008.4,91.7,-90.94,0,91.7,FALSE,-50.66,-26.87,"(24.405201, 121.307604)",5.48,30.05,"{'<-15°': 7.32, '-15°~-10°': 4.88, '-10°~-5°': 36.59, '-5°~-1°': 39.02, '-1°~1°': 12.2, '1°~5°': 0.0, '5°~10°': 0.0, '10°~15°': 0.0, '>15°': 0.0}",0 days 10:08:47,10821.68
1,1-0003,1,12,1-001,0 days 00:20:19,7,79,0,1008.4,91.7,90.94,91.7,0,FALSE,50.66,26.87,"(24.405222, 121.307583)",5.48,30.05,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 0.0, '-5°~-1°': 0.0, '-1°~1°': 12.2, '1°~5°': 39.02, '5°~10°': 36.59, '10°~15°': 4.88, '>15°': 7.32}",0 days 00:20:19,1008.4
1,1-0003,12,15,1-002,0 days 02:02:37,7,89.5,0,1712.9,526.2,304.05,539.8,19,TRUE,74.12,36.55,"(24.412912, 121.309689)",10.57,111.64,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 1.82, '-5°~-1°': 5.45, '-1°~1°': 3.64, '1°~5°': 3.64, '5°~10°': 3.64, '10°~15°': 14.55, '>15°': 67.27}",0 days 02:22:56,2721.3
1,1-0003,15,18,1-003,0 days 02:23:12,7.3,100,0,2689.54,739.3,271.16,757.5,28.2,TRUE,152.88,56.81,"(24.432630, 121.304903)",10.32,106.53,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 3.8, '-5°~-1°': 3.8, '-1°~1°': 6.33, '1°~5°': 6.33, '5°~10°': 10.13, '10°~15°': 26.58, '>15°': 43.04}",0 days 04:46:08,5410.84
1,1-0003,18,15,1-004,0 days 02:55:28,8.8,93.5,0,2689.54,739.3,-271.16,28.2,757.5,TRUE,-152.88,-56.81,"(24.432640, 121.304903)",10.32,106.53,"{'<-15°': 43.04, '-15°~-10°': 26.58, '-10°~-5°': 10.13, '-5°~-1°': 6.33, '-1°~1°': 6.33, '1°~5°': 3.8, '5°~10°': 3.8, '10°~15°': 0.0, '>15°': 0.0}",0 days 07:41:36,8100.38
1,1-0003,15,12,1-005,0 days 01:58:05,9.8,92,0,1712.9,526.2,-304.05,19,539.8,TRUE,-74.12,-36.55,"(24.412829, 121.309677)",10.57,111.64,"{'<-15°': 67.27, '-15°~-10°': 14.55, '-10°~-5°': 3.64, '-5°~-1°': 3.64, '-1°~1°': 3.64, '1°~5°': 5.45, '5°~10°': 1.82, '10°~15°': 0.0, '>15°': 0.0}",0 days 09:39:41,9813.28
1,1-0003,12,1,1-006,0 days 00:24:42,9.3,96.5,0,1008.4,91.7,-90.94,0,91.7,FALSE,-50.66,-26.87,"(24.405201, 121.307604)",5.48,30.05,"{'<-15°': 7.32, '-15°~-10°': 4.88, '-10°~-5°': 36.59, '-5°~-1°': 39.02, '-1°~1°': 12.2, '1°~5°': 0.0, '5°~10°': 0.0, '10°~15°': 0.0, '>15°': 0.0}",0 days 10:04:23,10821.68
1,1-0004,1,12,1-001,0 days 00:59:15.955838,8.1,75,0,1008.4,91.7,90.94,91.7,0,FALSE,50.66,26.87,"(24.405222, 121.307583)",5.48,30.05,"{'<-15°': 0.0, '-15°~-10°': 0.0, '-10°~-5°': 0.0, '-5°~-1°': 0.0, '-1°~1°': 12.2, '1°~5°': 39.02, '5°~10°': 36.59, '10°~15°': 4.88, '>15°': 7.32}",0 days 00:17:01,1008.4
